Area,Item,Unit,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
Algeria,"Peas, dry",1000 USD,4003000.0,4653000.0,4833000.0,3693000.0,2673000.0,3078000.0,3926000.0
Algeria,"Peas, green",1000 USD,114867000.0,140538000.0,192729000.0,187379000.0,210611000.0,230099000.0,253031000.0
Algeria,Plums and sloes,1000 USD,28633000.0,28700000.0,28606000.0,23246000.0,21805000.0,23512000.0,26777000.0
Algeria,Pomelos and grapefruits,1000 USD,606000.0,536000.0,530000.0,509000.0,504000.0,464000.0,491000.0
Algeria,Potatoes,1000 USD,1867915000.0,1756064000.0,1640418000.0,1261046000.0,1770382000.0,1454444000.0,1913022000.0
Algeria,"Pumpkins, squash and gourds",1000 USD,194194000.0,236806000.0,264007000.0,230546000.0,241828000.0,224644000.0,382835000.0
Algeria,Quinces,1000 USD,2902000.0,2751000.0,2899000.0,2533000.0,1828000.0,2101000.0,2888000.0
Algeria,Rape or colza seed,1000 USD,7035000.0,6864000.0,6754000.0,6327000.0,5936000.0,5587000.0,5816000.0
Algeria,Raw milk of camel,1000 USD,4356000.0,4635000.0,4695000.0,4602000.0,4411000.0,4089000.0,4328000.0
Algeria,Raw milk of cattle,1000 USD,1081074000.0,997125000.0,996616000.0,937924000.0,919023000.0,900601000.0,932669000.0
Algeria,Raw milk of goats,1000 USD,126709000.0,93998000.0,105762000.0,102798000.0,91178000.0,89127000.0,93348000.0
Algeria,Raw milk of sheep,1000 USD,163469000.0,163056000.0,169819000.0,182960000.0,152364000.0,150295000.0,159943000.0
Algeria,Rice,1000 USD,111000.0,106000.0,104000.0,99000.0,92000.0,87000.0,90000.0
Algeria,"Seed cotton, unginned",1000 USD,70000.0,71000.0,68000.0,62000.0,59000.0,57000.0,57000.0
Algeria,"Shorn wool, greasy, including fleece-washed shorn wool",1000 USD,29518000.0,28751000.0,26134000.0,25939000.0,21280000.0,20748000.0,22077000.0
Algeria,Sorghum,1000 USD,667000.0,488000.0,124000.0,32000.0,46000.0,106000.0,109000.0
Algeria,Sunflower seed,1000 USD,33000.0,34000.0,33000.0,30000.0,28000.0,27000.0,28000.0
Algeria,"Tangerines, mandarins, clementines",1000 USD,277836000.0,331290000.0,388378000.0,380606000.0,337869000.0,326307000.0,363004000.0
Algeria,Tomatoes,1000 USD,811369000.0,696471000.0,718177000.0,693417000.0,784530000.0,745201000.0,779934000.0
Algeria,Triticale,1000 USD,9000.0,62000.0,16000.0,64000.0,138000.0,113000.0,67000.0
Algeria,Unmanufactured tobacco,1000 USD,2020000.0,2108000.0,4800000.0,3421000.0,2625000.0,2707000.0,3105000.0
Algeria,Vetches,1000 USD,17000.0,17000.0,17000.0,15000.0,14000.0,15000.0,18000.0
Algeria,Watermelons,1000 USD,596493000.0,629120000.0,758096000.0,956507000.0,1280317000.0,1357483000.0,2020056000.0
Algeria,Wheat,1000 USD,988012000.0,1536573000.0,1461703000.0,1102756000.0,722453000.0,942851000.0,829590000.0
Algeria,Agriculture,1000 USD,22983197000.0,23286221000.0,24092829000.0,23302030000.0,22417701000.0,22315023000.0,27927931000.0
Algeria,"Cereals, primary",1000 USD,1217056000.0,1974323000.0,1822036000.0,1351574000.0,833749000.0,1128236000.0,1023154000.0
Algeria,Crops,1000 USD,15500986000.0,15797036000.0,16726841000.0,16159115000.0,15401196000.0,15737814000.0,19362324000.0
Algeria,Fibre Crops Primary,1000 USD,25000.0,25000.0,24000.0,22000.0,21000.0,20000.0,20000.0
Algeria,Food,1000 USD,22951590000.0,23255291000.0,24061828000.0,23272608000.0,22393737000.0,22291511000.0,27902692000.0
Algeria,Fruit Primary,1000 USD,8484275000.0,8215193000.0,9243165000.0,9230406000.0,8839095000.0,9160558000.0,11524466000.0
Algeria,Livestock,1000 USD,7482212000.0,7489185000.0,7365988000.0,7142915000.0,7016504000.0,6577209000.0,8565607000.0
Algeria,"Meat indigenous, total",1000 USD,5459512000.0,5685996000.0,5551938000.0,5382610000.0,5324446000.0,4914675000.0,6843527000.0
